Name,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
Kenny Payne,35,6.2,3.3,1.3,3.1,43.5,0.1,0.3,40,0.5,0.5,88.9,0.3,0.4,0.7,0.3,0.2,0.2,0.6,0
Eric Johnson,48,5.7,1.1,0.4,1.8,23.8,0,0.1,16.7,0.3,0.4,76.5,0.2,0.4,0.6,1.3,0.3,0,0.5,0
Mike Williams,21,4.9,0.7,0.3,0.9,33.3,0,0,0,0.1,0.3,50,0.2,0.9,1.1,0.1,0.1,0.3,0.1,0
Mike Morrison,36,4.3,2,0.6,1.9,33.8,0.1,0.2,28.6,0.7,0.8,80,0.2,0.4,0.6,0.3,0.1,0,0.6,0
Nate Johnston,21,4.1,2.2,0.9,2.3,37.5,0,0.2,25,0.4,0.6,69.2,0.6,0.5,1.1,0,0.1,0.4,0.3,0
Mitch Richmond*,79,34.4,22,8.2,17.5,46.8,0.4,1.1,36.7,5.2,6.4,81,2,3.9,5.9,4.2,1,0.2,3.4,1
Willie Anderson,81,33.8,18.6,7.9,15.9,49.8,0,0.3,19,2.8,3.6,77.5,1.9,3.3,5.1,4.6,1.9,0.8,3.2,1
Victor Oladipo,80,31.1,13.8,4.9,11.7,41.9,0.9,2.8,32.7,3.1,4,78,0.5,3.6,4.1,4.1,1.6,0.5,3.2,0
Hersey Hawkins,79,32.6,15.1,5.6,12.3,45.5,0.9,2.1,42.8,3.1,3.7,83.1,0.6,2.2,2.8,3,1.5,0.5,2,1
Kevin Edwards,79,29.7,13.8,5.9,14,42.5,0.1,0.5,27,1.8,2.4,74.6,1.1,2.2,3.3,4.4,1.8,0.3,3.1,1
Grant Long,82,29.7,11.9,4.1,8.4,48.6,0,0.1,0,3.7,5,74.9,2.9,3.7,6.7,1.8,1.5,0.6,2.5,1
Rex Chapman,75,29.6,16.9,7,16.9,41.4,0.8,2.5,31.4,2.1,2.6,79.5,1,1.5,2.5,2.3,0.9,0.3,1.5,1
Brian Shaw,82,28.1,8.6,3.6,8.4,43.3,0,0.2,0,1.3,1.6,82.6,1.5,3.1,4.6,5.8,0.9,0.3,2.3,1
Chris Morris,76,27.6,14.1,5.4,11.9,45.7,0.8,2.3,36.6,2.4,3.3,71.7,2.5,2.8,5.2,1.6,1.3,0.8,2.5,1
Gary Grant,71,27.1,11.9,5.1,11.7,43.5,0.1,0.3,22.7,1.7,2.3,73.5,1.1,2.2,3.4,7.1,2,0.1,3.6,1
Vernon Maxwell,79,26.1,11.7,4.5,10.5,43.2,0.4,1.6,24.8,2.3,3.1,74.5,0.6,1.9,2.6,3.8,1.1,0.1,2.3,1
Ben McLemore,82,26.7,8.8,3.1,8.3,37.6,1.2,3.6,32,1.4,1.7,80.4,0.6,2.2,2.9,1,0.6,0.2,1.2,0
Dan Majerle,54,25.1,8.6,3.4,8,41.9,0.5,1.5,32.9,1.4,2.4,61.4,1.1,2.7,3.9,2.4,1.2,0.3,0.9,1
Sylvester Gray,55,22.2,8,3,7.2,42,0,0.1,25,1.9,2.8,67.3,2.1,3.1,5.2,2.1,0.7,0.5,1.9,0
Ricky Berry,64,22,11,4,8.9,45,1,2.5,40.6,2,2.6,78.9,0.9,2.2,3.1,1.3,0.6,0.3,1.3,0
Tom Garrick,71,21.1,6.4,2.5,5.1,49,0,0.2,0,1.4,1.8,80.3,0.5,1.7,2.2,3.4,1.1,0.1,1.6,0
Michael Anderson,36,20.3,5.7,2,4.9,41.7,0,0.2,14.3,1.6,2.3,69.5,1.2,1.3,2.5,4.3,1.2,0.1,2.3,0
Michael Anderson,65,18.5,7.4,2.9,5.8,50.1,0,0.1,0,1.5,2.7,57.1,1.8,2.7,4.5,1,1,0.3,1.2,0
Vinny Del Negro,80,19.5,7.1,3,6.3,47.5,0.1,0.3,30,1.1,1.3,85,0.6,1.5,2.1,2.6,0.8,0.2,1,1
Kelvin Upshaw,32,19.3,6.8,3.1,6.6,46.7,0.1,0.5,20,0.6,0.8,69.2,0.3,1.2,1.5,3.7,0.8,0.1,1.7,0
Derrick Chievous,81,19,9.3,3.4,7.8,43.7,0.1,0.3,20.8,2.4,3,78.3,1.4,1.8,3.2,1,0.6,0.1,1.7,0
Ledell Eackles,80,18.2,11.5,4,9.2,43.4,0.1,0.5,22.5,3.4,4.3,78.6,1.3,1,2.3,1.5,0.5,0.1,1.6,1
Harvey Grant,71,16.8,5.6,2.5,5.5,46.4,0,0,0,0.5,0.8,59.6,1.1,1.2,2.3,1.1,0.5,0.4,0.4,1
Rod Strickland,81,16.8,8.9,3.3,7,46.7,0.2,0.7,32.2,2.1,2.9,74.5,0.6,1.3,2,3.9,1.2,0,1.8,1
Scott Brooks,82,16.7,5.2,1.9,4.5,42,0.7,1.9,35.9,0.7,0.8,88.4,0.2,0.9,1.1,3.7,0.8,0,0.8,1
Todd Mitchell,24,14.7,5.1,1.8,4,44.3,0,0,0,1.5,2.7,57.8,0.8,1.3,2.1,0.9,0.7,0.1,1.4,0
John Shasky,65,14.5,5.5,1.9,3.8,48.8,0,0,0,1.8,2.6,68.9,1.5,2.1,3.6,0.3,0.2,0.2,0.7,0
Mark Bryant,56,14.3,5,2.1,4.4,48.6,0,0,0,0.7,1.2,58,1.2,2,3.2,0.6,0.4,0.1,0.7,1
Mark Bryant,36,7,1.6,0.7,1.6,43.1,0,0,0,0.3,0.4,69.2,0.7,1.2,1.9,0.2,0.1,0.1,0.3,1
Shelton Jones,51,13.4,4.8,1.8,4.1,44.5,0,0,0,1.1,1.6,72.5,0.6,1.6,2.2,0.8,0.4,0.3,0.9,0
Eric Leckner,75,10.4,4.3,1.6,2.9,54.5,0,0,0,1.1,1.5,69.9,0.6,2,2.7,0.2,0.1,0.3,0.9,1
Jerome Lane,54,10.2,4.8,2,4.7,42.6,0,0.1,0,0.8,2.1,38.4,1.6,2.1,3.7,1.1,0.4,0.1,0.9,1
Tim Perry,62,9.9,4.1,1.7,3.2,53.7,0,0.1,25,0.6,1,61.5,1,1.1,2.1,0.3,0.3,0.5,0.6,1
Jim Les,82,9.5,1.7,0.5,1.6,30.1,0,0.2,7.1,0.7,0.9,78.1,0.3,0.8,1.1,2.6,0.3,0.1,1.1,1
Craig Neal,53,9.4,2.2,0.8,2.3,36.6,0.2,0.6,29.4,0.3,0.4,60.9,0.1,0.4,0.5,2.2,0.5,0.1,1,0
David Rivers,47,9.4,2.9,1,2.6,40.2,0,0.1,16.7,0.7,0.9,83.3,0.3,0.6,0.9,2.3,0.5,0.2,1.3,0
John Starks,36,8.8,4.1,1.4,3.5,40.8,0.3,0.7,38.5,0.9,1.4,65.4,0.4,0.7,1.1,0.8,0.6,0.1,1.1,1
Andrew Lang,62,8.5,2.6,1,1.9,51.3,0,0,0,0.6,1,65,0.9,1.5,2.4,0.1,0.3,0.8,0.5,1
Bill Jones,37,8.3,3.5,1.4,2.8,49,0,0,0,0.8,1.2,67.4,0.5,0.7,1.3,0.5,0.5,0.2,0.5,0
Charles Shackleford,60,8.1,3.1,1.4,2.8,49.4,0,0,0,0.4,0.7,50,0.8,1.7,2.6,0.4,0.3,0.3,0.5,1
Morlon Wiley,51,8,2.2,0.9,2.2,40.4,0.1,0.5,25,0.3,0.3,81.3,0.3,0.7,0.9,1.5,0.5,0.1,0.7,1
Randolph Keys,42,7.9,4,1.8,4.1,43,0,0.2,10,0.5,0.7,69,0.5,0.8,1.3,0.5,0.3,0.1,0.5,1
Mark Davis,33,7.8,3.8,1.5,3.1,48,0,0.3,10,0.8,1,82.4,0.5,0.6,1.1,0.4,0.4,0.1,0.4,1
Mark Davis,33,7.8,3.8,1.5,3.1,48,0,0.3,10,0.8,1,82.4,0.5,0.6,1.1,0.4,0.4,0.1,0.4,0
Mark Davis,57,10,3.3,1,2.6,36.9,0.1,0.2,30.8,1.3,2,63.8,1,1.2,2.2,0.8,0.7,0.4,1.2,1
Mark Davis,57,10,3.3,1,2.6,36.9,0.1,0.2,30.8,1.3,2,63.8,1,1.2,2.2,0.8,0.7,0.4,1.2,0
Troy Williams,24,17.4,5.3,2.1,5.1,41.8,0.4,1.7,24.4,0.6,1,60,0.3,1.6,1.8,0.8,1,0.4,1.1,0
Hollis Thompson,77,22.6,6,2.2,4.8,46,0.9,2.2,40.1,0.7,0.9,71.2,0.9,2.3,3.2,0.9,0.7,0.2,0.8,0
Ron Grandison,72,7.3,2.5,0.8,2,41.5,0,0.1,0,0.8,1.1,73.8,0.7,0.6,1.3,0.6,0.3,0,0.5,0
Micheal Williams,49,7.3,2.6,1,2.6,36.4,0,0.2,22.2,0.6,1,66,0.2,0.4,0.6,1.4,0.3,0.1,0.9,1
Anthony Frederick,46,6.8,3.3,1.4,2.7,50.4,0,0.1,40,0.5,0.7,70.6,0.6,0.6,1.1,0.4,0.3,0.1,0.7,0
Avery Johnson,43,6.8,1.6,0.7,1.9,34.9,0,0.2,11.1,0.2,0.4,56.3,0.3,0.3,0.6,1.7,0.5,0.1,0.4,1
Everette Stephens,35,6,1.9,0.7,2.1,31.9,0.1,0.3,20,0.5,0.6,77.3,0.3,0.3,0.7,1.1,0.3,0.1,0.8,0
Jack Haley,51,5.7,2.2,0.7,1.5,47.4,0,0,0,0.7,0.9,78.3,0.4,1,1.4,0.2,0.2,0,0.5,1
Duane Ferrell,41,5.6,2.4,0.9,2,42.2,0,0,0,0.7,1.1,68.2,0.5,0.5,1,0.2,0.2,0.1,0.3,1
Mark Jackson,82,39.6,13.6,5.3,12.4,43.2,0.4,1.5,25.4,2.5,3.2,77.4,1.5,3.4,4.8,10.6,2.5,0.1,3.1,1
Kenny Smith,61,35.6,13.8,5.4,11.4,47.7,0.2,0.6,30.8,2.7,3.3,81.9,0.7,1.6,2.3,7.1,1.5,0.1,3,1
Nate Wolters,58,22.6,7.2,2.9,6.7,43.7,0.3,1.1,29,1,1.6,65.6,0.6,2,2.6,3.2,0.6,0.3,1,0
Armen Gilliam,55,32.9,14.8,6.2,13.1,47.5,0,0,0,2.4,3.5,67.9,2.4,5.5,7.9,1.3,1.1,0.5,2.2,1
Winston Garland,67,31.7,12.4,5.1,11.6,43.9,0.2,0.6,33.3,2.1,2.3,87.9,1,2.4,3.4,6.4,1.7,0.1,2.5,1
Joe Wolf,42,27.1,7.6,3.2,8,40.7,0.1,0.4,20,1.1,1.3,83.3,1.2,3.2,4.5,2.3,0.9,0.4,1.8,1
Reggie Williams,35,24.5,10.4,4.3,12.2,35.6,0.4,1.7,22.4,1.4,1.9,72.7,1.6,1.8,3.4,1.7,0.8,0.6,1.8,1
Reggie Williams,35,24.5,10.4,4.3,12.2,35.6,0.4,1.7,22.4,1.4,1.9,72.7,1.6,1.8,3.4,1.7,0.8,0.6,1.8,1
Greg Anderson,82,24.2,11.7,4.6,9.2,50.1,0,0.1,20,2.4,4,60.4,2,4.3,6.3,1,0.7,1.5,1.7,1
Kevin Johnson,80,24,9.2,3.4,7.5,46.1,0.1,0.3,20.8,2.2,2.6,83.9,0.5,1.9,2.4,5.5,1.3,0.3,1.8,1
Horace Grant,81,22.6,7.7,3.1,6.3,50.1,0,0,0,1.4,2.2,62.6,1.9,3.6,5.5,1.1,0.6,0.7,1.1,1
Reggie Miller*,82,22.4,10,3.7,7.6,48.8,0.7,2.1,35.5,1.8,2.3,80.1,1.2,1.2,2.3,1.6,0.7,0.2,1.2,1
Dennis Hopson,61,22.4,9.6,3.6,9,40.4,0.2,0.7,26.7,2.1,2.9,74,1,1.3,2.3,1.9,0.9,0.4,1.9,1
Ken Norman,66,21.7,8.6,3.7,7.6,48.2,0,0.2,0,1.3,2.6,51.2,1.5,2.5,4,1.2,0.7,0.5,1.6,1
Ryan Kelly,59,22.2,8,2.7,6.3,42.3,0.8,2.4,33.8,1.9,2.3,81.5,0.7,3,3.7,1.6,0.5,0.8,0.8,0
Scottie Pippen*,79,20.9,7.9,3.3,7.1,46.3,0.1,0.3,17.4,1.3,2.2,57.6,1.5,2.3,3.8,2.1,1.1,0.7,1.7,1
Derrick McKey,82,20.8,8.5,3.1,6.3,49.1,0.1,0.4,36.7,2.1,2.7,77.2,1.4,2.6,4,1.3,0.8,0.8,1.3,1
Muggsy Bogues,79,20.6,5,2.1,5.4,39,0,0.2,18.8,0.7,0.9,78.4,0.4,1.3,1.7,5.1,1.6,0,1.3,1
Tellis Frank,78,20.5,8.1,3.1,7.2,42.8,0,0,0,1.9,2.7,72.5,1.2,3,4.2,1.4,0.7,0.3,1.4,1
Ricky Wilson,24,17.5,5.2,1.8,4.6,39.1,0.4,1.1,38.5,1.2,1.7,72.5,0.1,1,1.1,2.9,1,0.1,1,0
Dave Hoppen,39,16.5,5.7,2.2,4.7,45.9,0,0,0,1.4,1.6,87.1,1.5,3,4.5,0.8,0.3,0.1,0.9,1
Dallas Comegys,75,15,5.6,2.1,4.8,43,0,0,0,1.4,2,70.7,0.7,2.2,2.9,0.9,0.5,0.9,1.6,0
Mark Acres,79,14.6,3.6,1.4,2.6,53.2,0,0,0,0.9,1.4,64,1.3,2.1,3.4,0.5,0.4,0.3,0.7,1
Michael Jackson,58,13.1,2.7,1.1,2.9,37.4,0.1,0.4,24,0.4,0.6,71.9,0.3,0.7,1,3.1,0.3,0.1,1,0
Tony White,49,11.9,5.3,2.3,5.1,44.6,0,0.1,0,0.8,1.1,72.2,0.2,0.4,0.6,1.2,0.4,0,1,0
Brad Lohaus,70,10.3,4.2,1.7,3.5,49.6,0,0.2,23.1,0.7,0.9,80.6,0.7,1.3,2,0.7,0.3,0.6,0.8,1
Milt Wagner,40,9.5,3.8,1.6,3.7,42.2,0.1,0.3,20,0.7,0.7,89.7,0.1,0.6,0.7,1.5,0.1,0.1,0.6,0
Chris Dudley,55,9.3,3.1,1.2,2.5,47.4,0,0,0,0.7,1.3,56.3,1.3,1.3,2.6,0.4,0.2,0.3,0.6,1
Clinton Wheeler,59,8.7,2.5,1.1,2.2,47,0,0,0,0.4,0.6,73.5,0.3,0.4,0.7,1.7,0.6,0,0.9,0
Billy Donovan,44,8.3,2.4,1,2.5,40.4,0,0.2,0,0.4,0.5,81,0.1,0.5,0.6,2,0.4,0,0.9,0
Reggie Lewis,49,8.3,4.5,1.8,3.9,46.6,0,0.1,0,0.8,1.2,70.2,0.6,0.7,1.3,0.5,0.3,0.3,0.6,1
Martin Nessley,44,7.6,1.1,0.5,1.2,38.5,0,0,0,0.2,0.4,44.4,0.5,1.3,1.9,0.4,0.2,0.3,0.5,0
John Stroeder,41,6.6,1.9,0.7,1.9,36.7,0,0,0,0.5,0.7,66.7,0.6,1.1,1.7,0.5,0.1,0.3,0.6,0
Bart Kofoed,36,6.3,1.3,0.5,1.3,37.5,0.1,0.2,28.6,0.2,0.4,61.5,0.1,0.3,0.4,0.6,0.2,0,0.5,1
Ray McCallum,45,19.9,6.2,2.5,6.7,37.7,0.5,1.3,37.3,0.7,1,74.4,0.4,1.4,1.8,2.7,0.5,0.2,0.9,0
Ralph Lewis,50,6.2,1.7,0.5,1.7,31,0,0,0,0.6,1,60.4,0.3,0.7,1,0.3,0.3,0.1,0.4,0
Ron Harper,82,37.4,22.9,9,19.7,45.5,0.2,1.1,21.3,4.7,6.9,68.4,2.1,2.7,4.8,4.8,2.5,1,4.2,1
Chuck Person,82,36,18.8,7.7,16.6,46.8,0.6,1.7,35.5,2.7,3.6,74.7,2,6.2,8.3,3.6,1.1,0.2,2.6,1
Hot Rod Williams,80,33.9,14.6,5.4,11.2,48.5,0,0,0,3.7,5,74.5,2.8,5.1,7.9,1.9,0.7,2.1,1.7,1
Brad Daugherty,80,33.7,15.7,6.1,11.3,53.8,0,0,0,3.5,5,69.6,1.9,6.2,8.1,3.8,0.6,0.8,3.1,1
Nate McMillan,71,27.8,5.3,2,4.2,47.5,0,0.1,0,1.2,2,61.7,1.4,3.2,4.7,8.2,1.8,0.6,2.2,1
Kenny Walker,68,25.3,10.4,4.2,8.5,49.1,0,0.1,0,2.1,2.7,75.7,1.7,3.2,5,1.1,0.7,0.7,1.1,1
Walter Berry,63,25.2,15.9,6.5,12.2,53.1,0,0,0,3,4.6,64.9,2.2,2.7,4.9,1.7,0.6,0.6,2.4,0
John Williams,78,22.7,9.2,3.6,8,45.4,0.1,0.5,22.2,1.8,2.9,64.6,1.7,3,4.7,2.4,1.6,0.4,1.6,1
Kentavious Caldwell-Pope,80,19.8,5.9,2.3,5.8,39.6,0.7,2.3,31.9,0.6,0.8,77,0.5,1.5,2,0.7,0.9,0.1,0.3,0
Brad Sellers,80,21.9,8.5,3.5,7.6,45.5,0,0.1,20,1.6,2.2,72.8,1.9,2.7,4.7,1.3,0.6,0.8,1.1,1
David Wingate,77,20.9,8.8,3.4,7.8,43,0.2,0.7,25,1.9,2.6,74.1,0.9,1.1,2,2,1.2,0.3,1.7,1
Johnny Dawkins,81,20.8,10.3,4.1,9.4,43.7,0.2,0.6,29.8,1.9,2.4,80.1,0.7,1.4,2.1,3.6,0.8,0,1.5,1
William Bedford,50,19.6,6.7,2.8,7.2,39.7,0,0,0,1,1.7,58.1,1.6,3.3,4.9,1.1,0.4,0.7,1.7,1
Jeff Hornacek,80,19.5,5.3,2,4.4,45.4,0.2,0.5,27.9,1.2,1.5,77.7,0.5,1.8,2.3,4.5,0.9,0.1,1.9,1
Roy Tarpley,75,18.7,7.5,3.1,6.7,46.7,0,0,33.3,1.3,1.9,67.6,2.4,4.7,7.1,0.7,0.8,1.1,1.4,1
Mark Price,67,18.2,6.9,2.6,6.3,40.8,0.3,1,32.9,1.4,1.7,83.3,0.5,1.3,1.7,3,0.6,0.1,1.6,1
John Salley,82,17.8,5.3,2,3.5,56.2,0,0,0,1.3,2.1,61.4,1.3,2.3,3.6,0.7,0.5,1.5,0.9,1
Mark Alarie,64,17.3,7.9,3.4,6.9,49,0,0.1,22.2,1,1.6,66.3,1.1,2.2,3.3,1.2,0.3,0.4,0.9,1
Ben Coleman,68,15.1,6.6,2.7,4.6,58.1,0,0,0,1.3,1.8,72.7,1.5,2.8,4.2,0.5,0.5,0.5,1.4,1
Dennis Rodman*,77,15,6.5,2.8,5.1,54.5,0,0,0,1,1.6,58.7,2.1,2.2,4.3,0.7,0.5,0.6,1.2,1
Larry Krystkowiak,68,14.8,6.6,2.5,5.5,45.6,0,0.2,8.3,1.6,2.2,74.3,1.1,2.4,3.5,1.3,0.3,0.2,1,1
Kenny Gattison,77,14.3,5.2,1.9,4,47.6,0,0,0,1.4,2.2,63.2,1.1,2.4,3.5,0.5,0.3,0.4,1.1,1
Tim Kempton,66,14.2,4.4,1.5,3.1,47.1,0,0,0,1.4,2.1,69.3,1.1,1.9,2.9,0.8,0.6,0.2,0.7,1
Harold Pressley,67,13.6,4.6,2,4.7,42.3,0.1,0.4,25,0.5,0.7,72.9,1,1.6,2.6,1.8,0.6,0.3,0.9,0
Kevin Duckworth,65,13.5,5.4,2,4.2,47.6,0,0,0,1.4,2.1,68.7,1.2,2.3,3.4,0.4,0.3,0.3,1.2,1
Anthony Jones,65,13.2,5,2,5,41.3,0.1,0.3,35,0.8,1,76.9,0.6,1,1.6,1.1,0.7,0.3,0.8,0
Mike Brown,62,13.2,4.2,1.7,3.2,52.7,0,0,0,0.7,1.2,63.9,1.1,2.3,3.5,0.4,0.3,0.1,0.9,1
Grant Gondrezick,64,13.1,5.5,2.1,4.7,45,0.1,0.3,23.5,1.2,1.7,70.1,0.7,1,1.7,1.3,0.4,0.1,0.9,0
Billy Thompson,59,12.9,5.6,2.4,4.4,54.4,0,0,0,0.8,1.3,64.9,1.2,1.7,2.9,1,0.3,0.5,1,1
Mason Plumlee,70,18.2,7.4,2.8,4.3,65.9,0,0,0,1.7,2.8,62.6,1.4,3,4.4,0.9,0.7,0.8,1.1,0
Rafael Addison,62,11.5,5.8,2.4,5.3,44.1,0.3,0.8,32,0.8,1,79.7,0.7,1,1.7,0.7,0.4,0.1,0.9,1
Chris Washburn,35,11,3.8,1.6,4.1,39.3,0,0,0,0.5,1.5,35.3,1,1.9,2.9,0.5,0.2,0.2,1.1,0
Keith Smith,42,11,3.3,1.4,3.6,38,0.1,0.2,33.3,0.5,0.7,75,0.3,0.5,0.8,1,0.6,0.1,0.7,0
Johnny Newman,59,10.7,5,1.9,4.7,41.1,0,0.4,4.5,1.1,1.3,86.8,0.6,0.6,1.2,0.5,0.3,0.1,0.8,1
Johnny Rogers,45,10.4,4.2,2,4.1,48.6,0,0.1,0,0.2,0.3,60,0.7,1,1.7,0.6,0.2,0.2,0.4,0
Dell Curry,67,9.5,4.9,2.1,4.9,42.6,0.3,0.9,28.3,0.4,0.6,78.9,0.4,0.7,1.2,0.9,0.4,0.1,0.7,1
Buck Johnson,60,8.7,3.8,1.6,3.4,46.8,0,0,0,0.7,1,69,0.6,0.8,1.5,0.7,0.3,0.3,0.6,1
Clinton Smith,41,8.3,3.1,1.2,2.9,42.7,0,0,0,0.7,0.9,75,0.6,0.7,1.4,1.1,0.3,0,0.6,0
Dave Feitl,62,8,3.7,1.4,3.3,43.6,0,0,0,0.9,1.1,74.6,0.6,1.3,1.9,0.4,0.1,0.1,0.6,1
Bob Martin,43,6.7,3.4,1.2,3.1,37.8,0.1,0.3,20,1,1.5,63.6,0.3,0.7,1,0.8,0.3,0.1,0.8,0
Bob Martin,53,10.1,2.1,0.8,1.7,45.5,0,0,0,0.6,1,60.8,0.7,1.5,2.2,0.3,0.1,0.6,0.6,0
Conner Henry,54,6,2.3,0.9,2.5,33.8,0.2,0.8,31,0.3,0.5,63,0.1,0.5,0.6,0.6,0.2,0,0.5,0
Patrick Ewing,50,35.4,20,7.7,16.3,47.4,0,0.1,0,4.5,6.1,73.9,2.5,6.5,9,2,1.1,2.1,3.4,0
Xavier McDaniel,82,33,17.1,7,14.3,49,0,0.1,20,3,4.4,68.7,3.7,4.2,8,2.4,1.2,0.5,3,1
Karl Malone*,81,30.6,14.9,6.2,12.5,49.6,0,0,0,2.4,5,48.1,2.1,6.7,8.9,2.9,1.3,0.5,3.4,1
Wayman Tisdale,81,28.1,14.7,6.4,12.4,51.5,0,0,0,2,2.9,68.4,2.4,4.9,7.2,1,0.4,0.5,2.3,1
Benoit Benjamin,79,26.4,11.1,4.1,8.4,49,0,0,33.3,2.9,3.9,74.6,2,5.6,7.6,1,0.8,2.6,1.8,1
Chris Mullin*,55,25.3,14,5.2,11.3,46.3,0.1,0.5,18.5,3.4,3.8,89.6,0.8,1.3,2.1,1.9,1.3,0.4,1.4,1
Gerald Wilkins,81,25,12.5,5.4,11.5,46.8,0.1,0.3,28,1.6,2.9,55.7,1.1,1.4,2.6,2,0.8,0.1,1.9,1
Joe Dumars*,82,23.9,9.4,3.5,7.3,48.1,0.1,0.2,31.3,2.3,2.9,79.8,0.7,0.7,1.5,4.8,0.8,0.1,1.9,1
Cody Zeller,82,17.3,6,2.1,4.9,42.6,0,0,0,1.8,2.4,73,1.4,2.9,4.3,1.1,0.5,0.5,1.1,0
Charles Oakley,77,23,9.6,3.6,7,51.9,0,0,0,2.3,3.5,66.2,3.3,5.3,8.6,1.7,0.9,0.4,2.3,1
Jon Koncak,82,20.7,8.3,3.2,6.3,50.7,0,0,0,1.9,3.1,60.7,2.1,3.6,5.7,0.7,0.5,0.8,1.4,1
Keith Lee,58,20.6,7.4,3.1,6.6,46.6,0,0.2,22.2,1.3,1.7,78.1,2,4.1,6.1,1.2,0.5,0.6,1.3,0
Ed Pinckney,80,20,8.5,3.2,5.7,55.8,0,0,0,2.1,3.2,67.3,1.2,2.7,3.9,1.1,0.9,0.5,1.9,1
A.C. Green,82,18.8,6.4,2.5,4.7,53.9,0,0.1,16.7,1.2,2,61.1,2,2.7,4.6,0.7,0.6,0.6,1.2,1
Bob Thornton,71,18.6,4.7,1.8,3.9,45.6,0,0,0,1.2,2.3,53.1,1.6,2.5,4.1,0.6,0.4,0.1,1.2,1
Terry Catledge,64,17.1,7.7,3.2,6.7,46.9,0,0.1,0,1.4,2.2,64.7,1.7,2.6,4.3,0.3,0.5,0.1,1.1,1
Spud Webb,79,15.6,7.8,2.5,5.2,48.3,0,0.1,18.2,2.7,3.5,78.5,0.3,1.2,1.6,4.3,1,0.1,2,1
Terry Porter,79,15.4,7.1,2.7,5.7,47.4,0.2,0.5,31,1.6,2,80.6,0.4,1,1.5,2.5,1,0,1.3,1
Marquese Chriss,34,17.1,7,2.7,6.3,42.7,0.6,2.1,31,1,1.7,59.6,1.1,2.2,3.3,0.5,0.5,0.5,1.2,0
Nick Calathes,71,16.5,4.9,2,4.4,45.7,0.3,0.9,31.1,0.6,1,61.1,0.3,1.6,1.9,2.9,0.9,0.1,1.4,0
Carey Scurry,78,15,4.7,1.8,3.9,47.2,0,0.1,9.1,1,1.6,61.9,1.2,1.9,3.1,1.1,1,0.8,1.2,0
Dirk Minniefield,76,14.9,5.5,2.2,4.6,48.1,0.1,0.5,27,1,1.2,78.5,0.6,1.2,1.7,3.5,0.9,0,1.4,0
Joe Kleine,80,14.8,5.2,2,4.3,46.5,0,0,0,1.2,1.6,72.3,1.4,3.3,4.7,0.6,0.3,0.4,1.3,1
Alfredrick Hughes,68,12.7,5.2,2.2,5.5,40.9,0,0.3,17.6,0.7,1.2,58.3,0.7,0.9,1.7,0.9,0.4,0.1,0.9,0
Ken Johnson,64,12.7,4.1,1.8,3.3,52.8,0,0,,0.6,1.3,43.5,1.4,2.4,3.8,0.3,0.2,0.3,0.9,0
Ken Johnson,64,12.7,4.1,1.8,3.3,52.8,0,0,,0.6,1.3,43.5,1.4,2.4,3.8,0.3,0.2,0.3,0.9,0
Pete Williams,53,10.8,2.8,1.3,2.1,60.4,0,0,,0.3,0.8,42.5,0.9,1.9,2.8,0.3,0.4,0.4,0.4,0
Bill Martin,66,10.5,5,2.2,4.5,48,0,0.1,0,0.7,0.8,85.2,0.6,0.9,1.5,0.8,0.3,0.1,0.9,0
Tony Snell,77,16,4.5,1.7,4.4,38.4,0.7,2.3,32,0.4,0.5,75.6,0.2,1.4,1.6,0.9,0.4,0.2,0.6,0
Fred Cofield,45,10.4,3.7,1.7,4.1,40.8,0.1,0.3,20,0.3,0.4,60,0.1,0.9,1,1.8,0.4,0.1,1.1,0
Dwayne McClain,45,10.2,3.5,1.5,4,38.3,0,0.2,11.1,0.4,0.8,51.4,0.3,0.4,0.7,1.5,0.8,0.1,0.9,0
John Battle,64,10,4.3,1.6,3.5,45.5,0,0.1,0,1.2,1.6,72.8,0.2,0.8,1,1.2,0.4,0.1,0.7,1
Jerry Reynolds,55,9.2,3.7,1.3,2.9,44.4,0,0,50,1.1,1.9,55.8,0.7,0.8,1.5,1.6,0.8,0.3,0.9,1
Steve Harris,57,8.5,4.5,1.8,4.1,44.2,0,0.1,20,0.9,0.9,92.6,0.4,0.6,1,0.9,0.4,0.1,0.6,1
Lorenzo Charles,36,7.6,3.4,1.4,2.4,55.7,0,0,0,0.7,1,66.7,0.4,0.7,1.1,0.2,0.1,0.2,0.5,0
Sam Vincent,57,7.6,3.2,1,2.8,36.4,0,0.1,25,1.1,1.2,92.9,0.2,0.6,0.8,1.2,0.3,0.1,0.9,1
Blair Rasmussen,48,6.9,3.2,1.3,3.1,40.7,0,0,0,0.6,0.8,79.5,0.8,1.3,2,0.3,0.1,0.2,0.8,1
Phil Pressey,75,15.1,2.8,1,3.4,30.8,0.4,1.4,26.4,0.4,0.6,64.4,0.3,1.1,1.4,3.2,0.9,0.1,1.2,0
Michael Jordan*,82,38.3,28.2,10.2,19.8,51.5,0.1,0.6,17.3,7.7,9.1,84.5,2,4.5,6.5,5.9,2.4,0.8,3.5,1
Vern Fleming,80,31.1,14.1,5.4,11.5,47,0,0.1,0,3.3,4.2,76.7,1.9,2.2,4,3.1,1.2,0.1,2.5,1
