label	message	length	punct
ham	No da if you run that it activate the full version da.	54	1
ham	AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.	114	3
ham	Stop the story. I've told him i've returned it and he's saying i should not re order it.	88	5
spam	Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.	144	4
ham	Going to take your babe out ?	29	1
ham	Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.	136	7
ham	Spoons it is then okay?	23	1
ham	Did he just say somebody is named tampa	39	0
ham	In work now. Going have in few min.	35	2
ham	Your brother is a genius	24	0
ham	Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you	95	4
ham	Did u find out what time the bus is at coz i need to sort some stuff out.	73	1
ham	Dude ive been seeing a lotta corvettes lately	45	0
spam	Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins	160	4
ham	Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter	159	2
spam	PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04	149	9
spam	Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r	134	4
spam	What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!	154	4
ham	Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!	92	2
ham	Its going good...no problem..but still need little experience to understand american customer voice...	102	8
ham	I'll text you when I drop x off	31	1
ham	Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap	77	3
ham	Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;	139	19
spam	Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary	156	7
ham	Are you in castor? You need to see something	44	1
spam	Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone	136	5
spam	U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565	132	3
spam	U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08	143	5
spam	Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.	127	9
ham	see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.	276	9
ham	I love to give massages. I use lots of baby oil... What is your fave position?	78	5
ham	Dude we should go sup again	27	0
ham	Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive	79	1
ham	Gibbs unsold.mike hussey	24	1
ham	I like to talk pa but am not able to. I dont know y.	52	2
ham	Y dun cut too short leh. U dun like ah? She failed. She's quite sad.	68	5
ham	You unbelievable faglord	24	0
ham	Wife.how she knew the time of murder exactly	44	1
ham	Why do you ask princess?	24	1
ham	I am great princess! What are you thinking about me? :)	55	4
ham	Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you	62	7
ham	It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.	104	5
ham	Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;	87	7
ham	"Superb Thought- ""Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today."":-)"	148	8
ham	Hope you are having a good week. Just checking in	49	1
ham	I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.	154	7
ham	Thursday night? Yeah, sure thing, we'll work it out then	56	4
spam	"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"	158	8
ham	Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.	126	2
ham	How is it possible to teach you. And where.	43	2
ham	I wonder if your phone battery went dead ? I had to tell you, I love you babe	77	2
ham	Lovely smell on this bus and it ain't tobacco... 	49	4
ham	We're all getting worried over here, derek and taylor have already assumed the worst	84	2
ham	Hey what's up charles sorry about the late reply.	49	2
spam	all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468	162	6
ham	I.ll give her once i have it. Plus she said grinule greet you whenever we speak	79	2
ham	WHITE FUDGE OREOS ARE IN STORES	31	0
spam	January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)	155	11
ham	My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you	146	4
ham	I am sorry it hurt you.	23	1
ham	Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/	160	11
ham	Ok lor but not too early. Me still having project meeting now.	62	2
ham	Call me da, i am waiting for your call.	39	2
ham	I could ask carlos if we could get more if anybody else can chip in	67	0
ham	Was actually about to send you a reminder today. Have a wonderful weekend	73	1
ham	When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL	148	11
ham	Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? 	88	2
ham	Dont talk to him ever ok its my word.	37	1
ham	When u wana see it then	23	0
ham	On ma way to school. Can you pls send me ashley's number	56	2
ham	It shall be fine. I have avalarr now. Will hollalater	53	2
ham	She went to attend another two rounds today..but still did't reach home..	73	5
ham	Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com	80	4
ham	K, wait chikku..il send aftr  &lt;#&gt; mins	44	8
ham	But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.	92	5
ham	K:)i will give my kvb acc details:)	35	4
ham	Oh all have to come ah?	23	1
spam	money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy	139	6
ham	I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)	106	8
ham	Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go	103	1
ham	So do you have samus shoulders yet	34	0
ham	What time you think you'll have it? Need to know when I should be near campus	77	2
spam	Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.	158	5
ham	Then dun wear jeans lor...	26	3
ham	Since when, which side, any fever, any vomitin.	47	4
ham	K:)k.are you in college?	24	4
spam	Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+	148	6
ham	Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.	133	4
ham	No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)	126	6
ham	Theyre doing it to lots of places. Only hospitals and medical places are safe.	78	2
spam	How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)	132	5
ham	And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed	116	1
ham	I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones	221	4
ham	I cant wait to see you! How were the photos were useful? :)	59	4
spam	Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1	137	8
ham	Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging 	143	4
ham	Chk in ur belovd ms dict	24	0
ham	Is that what time you want me to come?	38	1
ham	Awesome, lemme know whenever you're around	42	2
ham	Shb b ok lor... Thanx...	24	6
ham	"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT"	157	9
ham	Also remember to get dobby's bowl from your car	47	1
spam	Filthy stories and GIRLS waiting for your	41	0
ham	Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...	122	13
ham	Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical	126	7
ham	Welp apparently he retired	26	0
ham	My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!	114	4
ham	Where @	7	1
ham	U sure u can't take any sick time?	34	2
spam	URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only	156	5
ham	Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?	92	8
ham	Yo chad which gymnastics class do you wanna take? The site says Christians class is full..	90	3
ham	Are you this much buzy	22	0
ham	Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.	85	6
ham	I am not sure about night menu. . . I know only about noon menu	63	3
ham	What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.	220	9
ham	Are you willing to go for aptitude class.	41	1
ham	It wont b until 2.15 as trying 2 sort house out, is that ok?	60	3
ham	Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?	88	4
ham	Haha awesome, omw back now then	31	1
ham	Yup i thk so until e shop closes lor.	37	1
ham	what is your account number?	28	1
ham	Eh u send wrongly lar...	24	3
ham	Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya 	118	1
ham	Ok i shall talk to him	22	0
ham	Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing	210	2
ham	Hey you can pay. With salary de. Only  &lt;#&gt; .	50	8
ham	Another month. I need chocolate weed and alcohol.	49	2
ham	If he started searching he will get job in few days.he have great potential and talent.	87	2
ham	Reckon need to be in town by eightish to walk from * carpark.	61	2
spam	Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.	141	7
ham	LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP	54	1
ham	Yo guess what I just dropped	28	0
ham	Carlos says he'll be at mu in  &lt;#&gt;  minutes	49	6
ham	I'm in office now . I will call you  &lt;#&gt;  min:)	53	9
ham	Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*	145	13
ham	Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn	160	12
ham	Ugh. Gotta drive back to sd from la. My butt is sore.	53	3
ham	26th OF JULY	12	0
ham	Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.	142	4
ham	Up to ü... Ü wan come then come lor... But i din c any stripes skirt...	71	9
ham	The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...	129	11
ham	I can't, I don't have her number!	33	4
ham	Change again... It's e one next to escalator...	47	7
ham	Yetunde i'm in class can you not run water on it to make it ok. Pls now.	72	3
ham	Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? 	148	5
ham	Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.	104	2
ham	Aight will do, thanks again for comin out	41	1
ham	No..but heard abt tat..	23	4
spam	Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!	147	2
ham	Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.	104	8
ham	&lt;#&gt;  am I think? Should say on syllabus	45	6
ham	Umma. Did she say anything	26	1
ham	Give me a sec to think think about it	37	0
spam	Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout	150	6
ham	I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?	132	7
ham	Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .	63	10
ham	Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala	108	7
ham	Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am	93	0
ham	I just got home babe, are you still awake ?	43	2
ham	I dunno they close oredi not... Ü v ma fan...	45	6
ham	Just buy a pizza. Meat lovers or supreme. U get to pick.	56	3
ham	Ya, told..she was asking wats matter?	37	4
ham	Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!	124	7
spam	FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+	158	6
ham	Shall i send that exe to your mail id.	38	1
ham	Nope watching tv at home... Not going out. V bored...	53	7
ham	Don know..wait i will check it.	31	3
ham	Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen	224	9
spam	Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18	156	4
ham	We still on for tonight?	24	1
ham	May i call You later Pls	24	0
ham	Hasn't that been the pattern recently crap weekends?	52	2
ham	I have a sore throat. It's scratches when I talk	48	2
ham	Yes da. Any plm at ur office	28	1
ham	Are you not around or just still asleep? :V	43	2
ham	Lol you forgot it eh ? Yes, I'll bring it in babe	49	3
ham	Its good, we'll find a way	26	2
ham	Can not use foreign stamps in this country. Good lecture .	58	2
ham	Yup bathe liao...	17	3
ham	HAPPY NEW YEAR MY NO.1 MAN	26	1
ham	OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!	127	9
ham	ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG	103	0
ham	Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*	157	11
ham	No my blankets are sufficient, thx	34	1
ham	naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt	128	11
ham	"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)"	155	11
ham	They just talking thats it de. They wont any other.	51	2
ham	Today am going to college so am not able to atten the class.	60	1
ham	I'm in class. Will holla later	30	2
ham	Easy ah?sen got selected means its good..	41	3
ham	Mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! Good indian?	102	3
spam	We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p	101	3
ham	Come round, it's . 	19	3
ham	"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here.."""	112	6
spam	1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!	104	6
ham	I walked an hour 2 c u! doesnt that show I care y wont u believe im serious?	77	2
spam	18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.	135	3
ham	Are you available for soiree on June 3rd?	41	1
ham	Do u noe wat time e place dat sells 4d closes?	46	1
ham	I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished	136	3
ham	Jay's getting really impatient and belligerent	46	1
ham	HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.	157	6
ham	I'm at work. Please call	24	2
ham	Then u drive lor.	17	1
ham	Ard 515 like dat. Y?	20	2
ham	Tell me they're female :V how're you throwing in? We're deciding what all to get now	84	5
spam	EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+	152	7
ham	I'm working technical support :)voice process.networking field.	63	5
ham	I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.	155	4
ham	Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.	122	5
spam	We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150	143	5
ham	That's fine, I'll bitch at you about it later then	50	3
ham	No my mum went 2 dentist.	25	1
ham	Once free call me sir. I am waiting for you.	44	2
ham	Meeting u is my work. . . Tel me when shall i do my work tomorrow	65	3
spam	Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU	134	3
ham	Jus finish bathing...	21	3
ham	alright, I'll make sure the car is back tonight	47	2
spam	URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only	156	5
spam	Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688	90	3
ham	Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.	135	4
ham	Aight ill get on fb in a couple minutes	39	0
ham	Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.	83	6
ham	Where can download clear movies. Dvd copies.	44	2
ham	Yep, by the pretty sculpture	28	1
ham	Convey my regards to him	24	0
ham	Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI	67	3
ham	You tell what happen dont behave like this to me. Ok no need to say	67	1
ham	Can u get pic msgs to your phone?	33	1
ham	Send to someone else :-)	24	3
ham	Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!	119	3
ham	For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..	910	22
ham	FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)	158	10
ham	I don't think he has spatula hands!	35	2
ham	You can never do NOTHING	24	0
spam	You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99	152	9
ham	Goodmorning today i am late for  &lt;DECIMAL&gt; min.	53	5
spam	WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm 	146	2
ham	Please da call me any mistake from my side sorry da. Pls da goto doctor.	72	2
ham	Where r we meeting?	19	1
ham	Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.	188	7
ham	Now only i reached home. . . I am very tired now. . I will come tomorro	71	5
ham	Ryder unsold.now gibbs.	23	2
spam	Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062	141	2
ham	Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.	160	9
ham	NO GIFTS!! You trying to get me to throw myself off a cliff or something?	73	3
ham	Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.	106	4
ham	You busy or can I come by at some point and figure out what we're doing tomorrow	80	1
ham	Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary	105	5
ham	Black shirt n blue jeans... I thk i c ü...	42	6
ham	Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.	68	4
spam	Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you	159	7
ham	on hen night. Going with a swing	32	1
ham	Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*	159	13
ham	From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke	140	1
ham	No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)	101	7
ham	S s..first time..dhoni rocks...	31	7
ham	Ok ill tell the company	23	0
ham	Awesome, think we can get an 8th at usf some time tonight?	58	2
ham	So that means you still think of teju	37	0
ham	No I'm good for the movie, is it ok if I leave in an hourish?	61	3
ham	No no:)this is kallis home ground.amla home town is durban:)	60	5
ham	So lets make it saturday or monday as per convenience.	54	1
ham	Hey... What time is your driving on fri? We go for evaluation on fri?	69	5
spam	449050000301 You have won a £2,000 price! To claim, call 09050000301.	69	4
ham	I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.	72	2
spam	Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16	156	6
ham	Cancel cheyyamo?and get some money back?	40	2
spam	Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow	153	0
ham	Ok.ok ok..then..whats ur todays plan	36	5
ham	Good morning princess! How are you?	35	2
ham	Aiyar sorry lor forgot 2 tell u...	34	3
spam	For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p	156	6
ham	Not tonight mate. Catching up on some sleep. This is my new number by the way. 	79	3
ham	"Height of ""Oh shit....!!"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D"	121	16
spam	Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg	104	4
ham	So check your errors and if you had difficulties, do correction.	64	2
ham	Howz pain?hope u r fine..	25	3
ham	Sorry, I'll call later	22	2
ham	Good morning princess! How are you?	35	2
ham	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.	156	13
ham	U wake up already? Thanx 4 e tau sar piah it's quite nice.	58	3
ham	K do I need a login or anything	31	0
spam	Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.	120	4
ham	LOL ... No just was busy	24	3
ham	What * u wearing?	17	2
ham	Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com	152	9
ham	Oh:)as usual vijay film or its different?	41	3
spam	I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.	158	13
ham	Have you had a good day? Mine was really busy are you up to much tomorrow night?	80	2
ham	And is there a way you can send shade's stuff to her. And she has been wonderful too.	85	3
ham	Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(	115	13
spam	Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832	115	3
ham	Babe ? I lost you ... :-(	25	7
ham	Ok... Help me ask if she's working tmr a not?	45	5
ham	I'm not driving... Raining! Then i'll get caught at e mrt station lor.	70	7
ham	Not a drop in the tank	22	0
ham	(That said can you text him one more time?)	43	3
ham	Sorry, I'll call later	22	2
ham	Ok i go change also...	22	3
spam	1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m)	139	8
ham	Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.	72	2
ham	Sorry man, accidentally left my phone on silent last night and didn't check it til I got up	91	2
ham	Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee	70	6
ham	He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment	140	5
ham	Hey! There's veggie pizza... :/	31	7
ham	Yun buying... But school got offer 2000 plus only...	52	6
ham	You sure your neighbors didnt pick it up	40	0
ham	K. I will sent it again	23	1
spam	Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's	155	6
ham	New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!	145	14
ham	Well. Im computerless. Time to make some oreo truffles	54	2
ham	Haha yeah I see that now, be there in a sec	43	1
ham	I am not having her number sir	30	0
ham	Lol now I'm after that hot air balloon!	39	2
ham	Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow	71	4
ham	Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil	146	4
ham	Yeah, we can probably swing by once my roommate finishes up with his girl	73	1
spam	Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!	159	10
ham	Happy new years melody!	23	1
ham	Ü dun need to pick ur gf?	25	1
ham	Yay! You better not have told that to 5 other girls either.	59	2
ham	Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?	150	7
ham	Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? 	167	3
ham	Just nw i came to hme da..	26	2
ham	I'm outside islands, head towards hard rock and you'll run into me	66	3
ham	To day class is there are no class.	35	1
ham	I'm in chennai velachery:)	26	3
ham	You flippin your shit yet?	26	1
ham	K give me a sec, breaking a  &lt;#&gt;  at cstore	49	6
ham	Am i that much bad to avoid like this?	38	1
ham	Yo, you around? Just got my car back	36	2
ham	Annoying isn't it.	18	2
ham	Goodmorning, Today i am late for  &lt;#&gt; min.	48	7
ham	There's no point hangin on to mr not right if he's not makin u happy	68	2
ham	All will come alive.better correct any good looking figure there itself..	73	3
ham	In that case I guess I'll see you at campus lodge	49	1
ham	We're done...	13	4
ham	Come to my home for one last time i wont do anything. Trust me.	63	2
ham	I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.	133	3
spam	Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248	154	7
ham	Ok... C ya...	13	6
spam	You have 1 new voicemail. Please call 08719181503	49	1
ham	What he said is not the matter. My mind saying some other matter is there.	74	2
ham	He also knows about lunch menu only da. . I know	48	2
