Id,Purchase,WeekofPurchase,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE
243,CH,259,7,1.86,2.18,0,0,0,0,0.926515,2.18,1.86,0.32,Yes,0,0,0.32,0
244,CH,260,7,1.86,2.13,0,0.24,0,0,0.941212,1.89,1.86,0.03,Yes,0.112676,0,0.27,0
245,CH,261,7,1.86,2.13,0,0.24,0,0,0.952969,1.89,1.86,0.03,Yes,0.112676,0,0.27,0
246,CH,262,7,1.86,2.13,0,0,0,0,0.962375,2.13,1.86,0.27,Yes,0,0,0.27,0
247,CH,264,7,1.86,2.13,0.37,0,1,0,0.9699,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
248,CH,266,7,1.86,2.13,0.37,0,1,0,0.97592,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
249,CH,268,7,1.86,2.13,0,0,0,0,0.980736,2.13,1.86,0.27,Yes,0,0,0.27,0
250,CH,268,7,1.86,2.13,0,0,0,0,0.984589,2.13,1.86,0.27,Yes,0,0,0.27,0
251,CH,269,7,1.86,2.13,0.27,0,1,0,0.987671,2.13,1.59,0.54,Yes,0,0.145161,0.27,0
252,CH,270,7,1.86,2.13,0.27,0,1,0,0.990137,2.13,1.59,0.54,Yes,0,0.145161,0.27,0
253,CH,271,7,1.86,2.13,0,0,0,0,0.99211,2.13,1.86,0.27,Yes,0,0,0.27,0
254,CH,272,7,1.86,2.13,0,0,0,0,0.993688,2.13,1.86,0.27,Yes,0,0,0.27,0
255,MM,275,7,1.99,2.13,0,0.54,1,0,0.99495,1.59,1.99,-0.4,Yes,0.253521,0,0.14,0
256,CH,229,7,1.69,1.69,0,0.2,0,1,0.16384,1.49,1.69,-0.2,Yes,0.118343,0,0,0
257,CH,232,7,1.69,1.99,0,0.4,1,1,0.331072,1.59,1.69,-0.1,Yes,0.201005,0,0.3,0
258,CH,257,2,1.86,2.18,0,0,0,0,0.5,2.18,1.86,0.32,No,0,0,0.32,2
259,MM,264,3,1.99,2.09,0.1,0,0,0,0.6,2.09,1.89,0.2,No,0,0.050251,0.1,3
260,MM,265,2,1.86,2.18,0,0,0,0,0.48,2.18,1.86,0.32,No,0,0,0.32,2
261,MM,267,2,1.86,2.18,0,0.4,0,1,0.384,1.78,1.86,-0.08,No,0.183486,0,0.32,2
262,CH,270,2,1.86,2.18,0,0,0,0,0.3072,2.18,1.86,0.32,No,0,0,0.32,2
263,CH,272,2,1.86,2.18,0,0.06,0,0,0.44576,2.12,1.86,0.26,No,0.027523,0,0.32,2
264,CH,273,2,1.86,2.18,0,0.06,0,0,0.556608,2.12,1.86,0.26,No,0.027523,0,0.32,2
265,CH,276,2,1.99,2.18,0,0,0,1,0.645286,2.18,1.99,0.19,No,0,0,0.19,2
266,CH,278,2,1.99,2.18,0,0,0,0,0.716229,2.18,1.99,0.19,No,0,0,0.19,2
267,MM,259,2,1.86,2.18,0,0.4,0,1,0.6672,1.78,1.86,-0.08,No,0.183486,0,0.32,2
268,MM,229,3,1.79,1.79,0,0,0,0,0.5648,1.79,1.79,0,No,0,0,0,3
269,MM,235,3,1.79,2.09,0,0,0,0,0.45184,2.09,1.79,0.3,No,0,0,0.3,3
270,MM,261,2,1.86,2.18,0,0,0,0,0.53376,2.18,1.86,0.32,No,0,0,0.32,2
271,MM,273,2,1.86,2.18,0,0.06,0,0,0.427008,2.12,1.86,0.26,No,0.027523,0,0.32,2
272,MM,276,3,2.09,2.09,0.2,0.4,0,0,0.341606,1.69,1.89,-0.2,No,0.191388,0.095694,0,3
273,MM,278,3,2.09,2.09,0.2,0,0,0,0.273285,2.09,1.89,0.2,No,0,0.095694,0,3
274,MM,229,3,1.79,1.79,0,0,0,0,0.027488,1.79,1.79,0,No,0,0,0,3
275,MM,234,3,1.79,2.09,0,0,0,0,0.02199,2.09,1.79,0.3,No,0,0,0.3,3
276,MM,239,3,1.79,2.23,0,0,0,0,0.017592,2.23,1.79,0.44,No,0,0,0.44,3
277,MM,240,3,1.79,2.23,0,0,0,0,0.014074,2.23,1.79,0.44,No,0,0,0.44,3
278,MM,240,3,1.79,2.23,0,0,0,0,0.011259,2.23,1.79,0.44,No,0,0,0.44,3
279,MM,241,3,1.79,2.23,0,0,0,0,0.009007,2.23,1.79,0.44,No,0,0,0.44,3
280,MM,242,3,1.99,2.23,0,0,0,0,0.007206,2.23,1.99,0.24,No,0,0,0.24,3
281,MM,243,3,1.99,2.23,0,0,0,0,0.005765,2.23,1.99,0.24,No,0,0,0.24,3
282,MM,244,3,1.99,2.23,0,0,0,0,0.004612,2.23,1.99,0.24,No,0,0,0.24,3
283,MM,247,3,1.99,2.23,0,0,0,0,0.003689,2.23,1.99,0.24,No,0,0,0.24,3
284,MM,248,3,1.99,2.23,0,0,0,0,0.002951,2.23,1.99,0.24,No,0,0,0.24,3
285,MM,250,3,1.99,2.23,0,0,0,0,0.002361,2.23,1.99,0.24,No,0,0,0.24,3
286,MM,253,3,1.99,2.23,0,0,0,0,0.001889,2.23,1.99,0.24,No,0,0,0.24,3
287,MM,259,3,1.99,2.29,0,0,0,0,0.001511,2.29,1.99,0.3,No,0,0,0.3,3
288,MM,261,3,1.99,2.09,0,0,0,0,0.001209,2.09,1.99,0.1,No,0,0,0.1,3
289,MM,263,3,1.99,2.09,0,0,0,0,0.000967,2.09,1.99,0.1,No,0,0,0.1,3
290,MM,264,3,1.99,2.09,0.1,0,0,0,0.000774,2.09,1.89,0.2,No,0,0.050251,0.1,3
291,MM,266,3,1.99,2.09,0.1,0,0,0,0.000619,2.09,1.89,0.2,No,0,0.050251,0.1,3
292,MM,267,3,1.99,2.09,0.1,0,0,0,0.000495,2.09,1.89,0.2,No,0,0.050251,0.1,3
293,MM,270,2,1.86,2.18,0,0,0,0,0.000396,2.18,1.86,0.32,No,0,0,0.32,2
294,MM,273,2,1.86,2.18,0,0.06,0,0,0.000317,2.12,1.86,0.26,No,0.027523,0,0.32,2
295,MM,275,2,1.96,2.18,0,0.8,0,1,0.000254,1.38,1.96,-0.58,No,0.366972,0,0.22,2
296,MM,276,3,2.09,2.09,0.2,0.4,0,0,0.000203,1.69,1.89,-0.2,No,0.191388,0.095694,0,3
297,CH,228,2,1.69,1.69,0,0,0,0,0.48,1.69,1.69,0,No,0,0,0,2
298,MM,229,2,1.69,1.69,0,0,0,0,0.584,1.69,1.69,0,No,0,0,0,2
299,MM,231,2,1.69,1.69,0.3,0,1,0,0.4672,1.69,1.39,0.3,No,0,0.177515,0,2
300,MM,233,2,1.69,1.69,0,0,0,0,0.37376,1.69,1.69,0,No,0,0,0,2
301,CH,234,3,1.79,2.09,0,0,0,0,0.299008,2.09,1.79,0.3,No,0,0,0.3,3
302,MM,240,2,1.75,1.99,0,0.3,0,1,0.439206,1.69,1.75,-0.06,No,0.150754,0,0.24,2
303,MM,242,2,1.75,1.99,0.16,0.3,0,1,0.351365,1.69,1.59,0.1,No,0.150754,0.091429,0.24,2
304,CH,245,2,1.89,2.09,0,0,0,0,0.281092,2.09,1.89,0.2,No,0,0,0.2,2
305,MM,253,3,1.99,2.23,0,0,0,0,0.424874,2.23,1.99,0.24,No,0,0,0.24,3
306,MM,256,2,1.89,2.18,0.13,0,0,0,0.339899,2.18,1.76,0.42,No,0,0.068783,0.29,2
307,MM,262,2,1.86,2.18,0,0.6,0,1,0.271919,1.58,1.86,-0.28,No,0.275229,0,0.32,2
308,MM,263,2,1.86,2.18,0,0,0,1,0.217535,2.18,1.86,0.32,No,0,0,0.32,2
309,CH,269,3,1.99,2.09,0.1,0,0,0,0.174028,2.09,1.89,0.2,No,0,0.050251,0.1,3
310,CH,270,2,1.86,2.18,0,0,0,0,0.339223,2.18,1.86,0.32,No,0,0,0.32,2
311,CH,272,2,1.86,2.18,0,0.06,0,0,0.471378,2.12,1.86,0.26,No,0.027523,0,0.32,2
312,CH,273,2,1.86,2.18,0,0.06,0,0,0.577102,2.12,1.86,0.26,No,0.027523,0,0.32,2
313,CH,275,2,1.96,2.18,0,0.8,0,1,0.661682,1.38,1.96,-0.58,No,0.366972,0,0.22,2
314,CH,276,2,1.99,2.18,0,0,0,1,0.729346,2.18,1.99,0.19,No,0,0,0.19,2
315,CH,276,2,1.99,2.18,0,0,0,1,0.783476,2.18,1.99,0.19,No,0,0,0.19,2
316,CH,278,2,1.99,2.18,0,0,0,0,0.826781,2.18,1.99,0.19,No,0,0,0.19,2
317,MM,238,3,1.79,2.09,0,0,0,0,0.7952,2.09,1.79,0.3,No,0,0,0.3,3
318,CH,241,3,1.79,2.23,0,0,0,0,0.63616,2.23,1.79,0.44,No,0,0,0.44,3
319,CH,246,3,1.99,2.23,0,0,0,0,0.708928,2.23,1.99,0.24,No,0,0,0.24,3
320,CH,251,3,1.99,2.23,0,0,0,0,0.5,2.23,1.99,0.24,No,0,0,0.24,3
321,CH,257,3,1.99,2.29,0,0.4,0,1,0.6,1.89,1.99,-0.1,No,0.174672,0,0.3,3
322,CH,264,3,1.99,2.09,0.1,0,0,0,0.68,2.09,1.89,0.2,No,0,0.050251,0.1,3
323,MM,271,3,1.99,2.09,0.1,0.4,1,0,0.5,1.69,1.89,-0.2,No,0.191388,0.050251,0.1,3
324,CH,271,3,1.99,2.09,0.1,0.4,1,0,0.4,1.69,1.89,-0.2,No,0.191388,0.050251,0.1,3
325,MM,230,1,1.69,1.69,0,0.2,0,0,0.4,1.49,1.69,-0.2,No,0.118343,0,0,1
326,CH,231,1,1.69,1.69,0.3,0.2,1,0,0.32,1.49,1.39,0.1,No,0.118343,0.177515,0,1
327,CH,251,1,1.76,2.09,0,0,0,0,0.456,2.09,1.76,0.33,No,0,0,0.33,1
328,CH,266,1,1.86,1.99,0,0.1,0,0,0.5648,1.89,1.86,0.03,No,0.050251,0,0.13,1
329,MM,267,4,1.99,2.09,0.1,0,0,0,0.65184,2.09,1.89,0.2,No,0,0.050251,0.1,4
330,CH,268,7,1.86,2.13,0,0,0,0,0.4,2.13,1.86,0.27,Yes,0,0,0.27,0
331,MM,262,1,1.76,1.99,0,0.4,0,1,0.5,1.59,1.76,-0.17,No,0.201005,0,0.23,1
332,MM,266,1,1.86,1.99,0,0.1,0,0,0.4,1.89,1.86,0.03,No,0.050251,0,0.13,1
333,MM,229,7,1.69,1.69,0,0.2,0,1,0.149422,1.49,1.69,-0.2,Yes,0.118343,0,0,0
334,MM,236,7,1.75,1.99,0,0.4,0,0,0.119538,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
335,MM,237,7,1.75,1.99,0,0.4,0,0,0.09563,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
336,MM,238,7,1.75,1.99,0,0.4,0,0,0.076504,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
337,MM,242,7,1.86,2.09,0,0,0,0,0.061203,2.09,1.86,0.23,Yes,0,0,0.23,0
338,MM,254,7,1.86,2.18,0,0,0,0,0.048963,2.18,1.86,0.32,Yes,0,0,0.32,0
339,MM,255,7,1.86,2.18,0,0,0,0,0.03917,2.18,1.86,0.32,Yes,0,0,0.32,0
340,CH,233,7,1.75,1.99,0,0.4,1,0,0.744,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
341,CH,251,7,1.86,2.09,0.1,0,0,0,0.7952,2.09,1.76,0.33,Yes,0,0.053763,0.23,0
342,CH,253,7,1.86,2.09,0.1,0,0,0,0.83616,2.09,1.76,0.33,Yes,0,0.053763,0.23,0
343,CH,254,1,1.76,2.09,0,0,0,0,0.868928,2.09,1.76,0.33,No,0,0,0.33,1
344,CH,260,7,1.86,2.13,0,0.24,0,0,0.895142,1.89,1.86,0.03,Yes,0.112676,0,0.27,0
345,CH,261,7,1.86,2.13,0,0.24,0,0,0.916114,1.89,1.86,0.03,Yes,0.112676,0,0.27,0
346,CH,263,7,1.86,2.13,0.27,0,0,0,0.932891,2.13,1.59,0.54,Yes,0,0.145161,0.27,0
347,CH,264,7,1.86,2.13,0.37,0,1,0,0.946313,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
348,CH,267,7,1.86,2.13,0,0,1,0,0.95705,2.13,1.86,0.27,Yes,0,0,0.27,0
349,CH,268,7,1.86,2.13,0,0,0,0,0.96564,2.13,1.86,0.27,Yes,0,0,0.27,0
350,CH,269,7,1.86,2.13,0.27,0,1,0,0.972512,2.13,1.59,0.54,Yes,0,0.145161,0.27,0
351,CH,277,7,1.99,2.13,0.5,0,0,1,0.97801,2.13,1.49,0.64,Yes,0,0.251256,0.14,0
352,CH,278,7,2.06,2.13,0,0,0,0,0.982408,2.13,2.06,0.07,Yes,0,0,0.07,0
353,CH,230,4,1.79,1.79,0,0,0,0,0.52,1.79,1.79,0,No,0,0,0,4
354,MM,273,4,1.99,2.09,0,0.4,0,0,0.616,1.69,1.99,-0.3,No,0.191388,0,0.1,4
355,MM,227,4,1.79,1.79,0,0,0,1,0.5,1.79,1.79,0,No,0,0,0,4
356,MM,229,4,1.79,1.79,0,0,0,0,0.4,1.79,1.79,0,No,0,0,0,4
357,MM,230,4,1.79,1.79,0,0,0,0,0.32,1.79,1.79,0,No,0,0,0,4
358,MM,252,4,1.99,2.23,0,0,0,0,0.5,2.23,1.99,0.24,No,0,0,0.24,4
359,CH,265,4,1.99,2.09,0.1,0,0,0,0.4,2.09,1.89,0.2,No,0,0.050251,0.1,4
360,CH,262,4,1.99,2.09,0,0,0,0,0.6,2.09,1.99,0.1,No,0,0,0.1,4
361,MM,275,7,1.99,2.13,0,0.54,1,0,0.6,1.59,1.99,-0.4,Yes,0.253521,0,0.14,0
362,MM,259,7,1.86,2.18,0,0,0,0,0.4,2.18,1.86,0.32,Yes,0,0,0.32,0
363,MM,261,7,1.86,2.13,0,0.24,0,0,0.32,1.89,1.86,0.03,Yes,0.112676,0,0.27,0
364,MM,240,4,1.79,2.23,0,0,0,0,0.5,2.23,1.79,0.44,No,0,0,0.44,4
365,MM,244,1,1.86,2.09,0,0,0,0,0.4,2.09,1.86,0.23,No,0,0,0.23,1
366,MM,233,7,1.75,1.99,0,0.4,1,0,0.4,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
367,MM,256,3,1.99,2.29,0,0,0,0,0.32,2.29,1.99,0.3,No,0,0,0.3,3
368,MM,258,2,1.86,2.18,0,0,0,0,0.256,2.18,1.86,0.32,No,0,0,0.32,2
369,CH,264,7,1.86,2.13,0.37,0,1,0,0.2048,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
370,CH,266,2,1.86,2.18,0,0,0,0,0.36384,2.18,1.86,0.32,No,0,0,0.32,2
371,MM,267,1,1.86,1.99,0,0.2,0,1,0.491072,1.79,1.86,-0.07,No,0.100503,0,0.13,1
372,MM,274,2,1.96,2.18,0,0.8,0,1,0.392858,1.38,1.96,-0.58,No,0.366972,0,0.22,2
373,CH,274,7,1.86,2.13,0.47,0.54,1,0,0.314286,1.59,1.39,0.2,Yes,0.253521,0.252688,0.27,0
374,MM,228,1,1.69,1.69,0,0,0,0,0.5,1.69,1.69,0,No,0,0,0,1
375,MM,237,2,1.75,1.99,0,0,0,0,0.4,1.99,1.75,0.24,No,0,0,0.24,2
376,CH,258,1,1.76,2.18,0,0,0,0,0.32,2.18,1.76,0.42,No,0,0,0.42,1
377,MM,228,2,1.69,1.69,0,0,0,0,0.256,1.69,1.69,0,No,0,0,0,2
378,MM,229,2,1.69,1.69,0,0,0,0,0.2048,1.69,1.69,0,No,0,0,0,2
379,MM,236,2,1.75,1.99,0,0,0,0,0.16384,1.99,1.75,0.24,No,0,0,0.24,2
380,MM,242,2,1.75,1.99,0.16,0.3,0,1,0.131072,1.69,1.59,0.1,No,0.150754,0.091429,0.24,2
381,CH,254,2,1.89,2.09,0.13,0,0,0,0.104858,2.09,1.76,0.33,No,0,0.068783,0.2,2
382,CH,257,2,1.86,2.18,0,0,0,0,0.283886,2.18,1.86,0.32,No,0,0,0.32,2
383,MM,260,2,1.86,2.18,0,0.7,0,0,0.427109,1.48,1.86,-0.38,No,0.321101,0,0.32,2
384,CH,227,7,1.69,1.69,0,0,0,1,0.072993,1.69,1.69,0,Yes,0,0,0,0
385,MM,227,2,1.69,1.69,0,0,0,0,0.258395,1.69,1.69,0,No,0,0,0,2
386,MM,228,2,1.69,1.69,0,0,0,0,0.206716,1.69,1.69,0,No,0,0,0,2
387,MM,229,2,1.69,1.69,0,0,0,0,0.165373,1.69,1.69,0,No,0,0,0,2
388,MM,230,7,1.69,1.99,0,0,0,1,0.132298,1.99,1.69,0.3,Yes,0,0,0.3,0
389,MM,233,2,1.69,1.69,0,0,0,0,0.105838,1.69,1.69,0,No,0,0,0,2
390,CH,235,7,1.75,1.99,0,0.4,0,0,0.084671,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
391,MM,236,2,1.75,1.99,0,0,0,0,0.267737,1.99,1.75,0.24,No,0,0,0.24,2
392,MM,237,2,1.75,1.99,0,0,0,0,0.214189,1.99,1.75,0.24,No,0,0,0.24,2
393,MM,237,2,1.75,1.99,0,0,0,0,0.171351,1.99,1.75,0.24,No,0,0,0.24,2
394,CH,239,7,1.79,2.09,0,0,0,0,0.137081,2.09,1.79,0.3,Yes,0,0,0.3,0
395,MM,240,7,1.86,2.09,0,0,0,0,0.309665,2.09,1.86,0.23,Yes,0,0,0.23,0
396,MM,242,2,1.75,1.99,0.16,0.3,0,1,0.247732,1.69,1.59,0.1,No,0.150754,0.091429,0.24,2
397,CH,257,7,1.86,2.18,0,0,0,0,0.198186,2.18,1.86,0.32,Yes,0,0,0.32,0
398,MM,258,7,1.86,2.18,0,0,0,0,0.358548,2.18,1.86,0.32,Yes,0,0,0.32,0
399,CH,264,7,1.86,2.13,0.37,0,1,0,0.286839,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
400,MM,271,7,1.86,2.13,0,0,0,0,0.429471,2.13,1.86,0.27,Yes,0,0,0.27,0
401,MM,272,3,1.99,2.09,0,0.4,0,0,0.343577,1.69,1.99,-0.3,No,0.191388,0,0.1,3
402,MM,272,2,1.86,2.18,0,0.06,0,0,0.274861,2.12,1.86,0.26,No,0.027523,0,0.32,2
403,MM,274,7,1.86,2.13,0.47,0.54,1,0,0.219889,1.59,1.39,0.2,Yes,0.253521,0.252688,0.27,0
404,MM,274,2,1.96,2.18,0,0.8,0,1,0.175911,1.38,1.96,-0.58,No,0.366972,0,0.22,2
405,MM,275,7,1.99,2.13,0,0.54,1,0,0.140729,1.59,1.99,-0.4,Yes,0.253521,0,0.14,0
406,MM,276,7,1.99,2.13,0,0.54,0,1,0.112583,1.59,1.99,-0.4,Yes,0.253521,0,0.14,0
407,MM,227,1,1.69,1.69,0,0,0,0,0.433472,1.69,1.69,0,No,0,0,0,1
408,MM,236,1,1.75,1.99,0,0,0,0,0.346778,1.99,1.75,0.24,No,0,0,0.24,1
409,CH,243,1,1.86,1.99,0,0.8,0,1,0.277422,1.19,1.86,-0.67,No,0.40201,0,0.13,1
410,MM,255,7,1.86,2.18,0,0,0,0,0.421938,2.18,1.86,0.32,Yes,0,0,0.32,0
411,MM,261,7,1.86,2.13,0,0.24,0,0,0.33755,1.89,1.86,0.03,Yes,0.112676,0,0.27,0
412,MM,230,3,1.79,1.79,0,0,0,0,0.283886,1.79,1.79,0,No,0,0,0,3
413,MM,234,7,1.75,1.99,0,0.4,1,0,0.227109,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
414,MM,235,3,1.79,2.09,0,0,0,0,0.181687,2.09,1.79,0.3,No,0,0,0.3,3
415,MM,238,3,1.79,2.09,0,0,0,0,0.14535,2.09,1.79,0.3,No,0,0,0.3,3
416,MM,241,3,1.79,2.23,0,0,0,0,0.11628,2.23,1.79,0.44,No,0,0,0.44,3
417,MM,244,7,1.86,2.09,0,0.2,0,0,0.093024,1.89,1.86,0.03,Yes,0.095694,0,0.23,0
418,MM,257,3,1.99,2.29,0,0.4,0,1,0.074419,1.89,1.99,-0.1,No,0.174672,0,0.3,3
419,MM,258,2,1.86,2.18,0,0,0,0,0.059535,2.18,1.86,0.32,No,0,0,0.32,2
420,MM,259,3,1.99,2.29,0,0,0,0,0.047628,2.29,1.99,0.3,No,0,0,0.3,3
421,MM,260,3,1.99,2.09,0,0,0,0,0.038103,2.09,1.99,0.1,No,0,0,0.1,3
422,MM,261,3,1.99,2.09,0,0,0,0,0.030482,2.09,1.99,0.1,No,0,0,0.1,3
423,CH,232,2,1.69,1.69,0,0,1,0,0.4352,1.69,1.69,0,No,0,0,0,2
424,CH,235,2,1.69,1.99,0,0,0,0,0.54816,1.99,1.69,0.3,No,0,0,0.3,2
425,CH,242,3,1.99,2.23,0,0,0,0,0.416,2.23,1.99,0.24,No,0,0,0.24,3
426,CH,277,3,2.09,2.09,0.2,0.4,0,0,0.5328,1.69,1.89,-0.2,No,0.191388,0.095694,0,3
427,CH,262,4,1.99,2.09,0,0,0,0,0.104858,2.09,1.99,0.1,No,0,0,0.1,4
428,CH,264,7,1.86,2.13,0.37,0,1,0,0.283886,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
429,MM,265,7,1.86,2.13,0.37,0,1,0,0.427109,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
430,MM,267,4,1.99,2.09,0.1,0,0,0,0.341687,2.09,1.89,0.2,No,0,0.050251,0.1,4
431,MM,270,4,1.99,2.09,0.1,0,0,0,0.27335,2.09,1.89,0.2,No,0,0.050251,0.1,4
432,MM,272,7,1.86,2.13,0,0,0,0,0.21868,2.13,1.86,0.27,Yes,0,0,0.27,0
433,CH,234,7,1.75,1.99,0,0.4,1,0,0.5,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
434,MM,243,1,1.86,1.99,0,0.8,0,1,0.6,1.19,1.86,-0.67,No,0.40201,0,0.13,1
435,MM,257,4,1.99,2.29,0,0.4,0,1,0.48,1.89,1.99,-0.1,No,0.174672,0,0.3,4
436,MM,261,1,1.76,1.99,0,0,0,0,0.384,1.99,1.76,0.23,No,0,0,0.23,1
437,CH,265,1,1.76,1.99,0,0.1,0,0,0.3072,1.89,1.76,0.13,No,0.050251,0,0.23,1
438,MM,275,1,1.96,2.13,0,0.74,0,1,0.44576,1.39,1.96,-0.57,No,0.347418,0,0.17,1
439,MM,243,1,1.86,1.99,0,0.8,0,1,0.6,1.19,1.86,-0.67,No,0.40201,0,0.13,1
440,CH,251,1,1.76,2.09,0,0,0,0,0.48,2.09,1.76,0.33,No,0,0,0.33,1
441,CH,256,1,1.76,2.18,0,0,0,0,0.584,2.18,1.76,0.42,No,0,0,0.42,1
442,CH,257,1,1.76,2.18,0,0,0,0,0.6672,2.18,1.76,0.42,No,0,0,0.42,1
443,CH,258,1,1.76,2.18,0,0,0,0,0.73376,2.18,1.76,0.42,No,0,0,0.42,1
444,CH,261,1,1.76,1.99,0,0,0,0,0.787008,1.99,1.76,0.23,No,0,0,0.23,1
445,CH,266,1,1.86,1.99,0,0.1,0,0,0.829606,1.89,1.86,0.03,No,0.050251,0,0.13,1
446,MM,275,1,1.96,2.13,0,0.74,0,1,0.863685,1.39,1.96,-0.57,No,0.347418,0,0.17,1
447,CH,233,7,1.75,1.99,0,0.4,1,0,0.524608,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
448,CH,256,7,1.86,2.18,0,0,0,0,0.619686,2.18,1.86,0.32,Yes,0,0,0.32,0
449,MM,260,3,1.99,2.09,0,0,0,0,0.695749,2.09,1.99,0.1,No,0,0,0.1,3
450,MM,262,2,1.86,2.18,0,0.6,0,1,0.556599,1.58,1.86,-0.28,No,0.275229,0,0.32,2
451,MM,263,2,1.86,2.18,0,0,0,1,0.445279,2.18,1.86,0.32,No,0,0,0.32,2
452,CH,264,7,1.86,2.13,0.37,0,1,0,0.356224,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
453,CH,267,2,1.86,2.18,0,0.4,0,1,0.484979,1.78,1.86,-0.08,No,0.183486,0,0.32,2
454,CH,268,2,1.86,2.18,0,0,0,1,0.587983,2.18,1.86,0.32,No,0,0,0.32,2
455,MM,271,3,1.99,2.09,0.1,0.4,1,0,0.670386,1.69,1.89,-0.2,No,0.191388,0.050251,0.1,3
456,CH,272,2,1.86,2.18,0,0.06,0,0,0.536309,2.12,1.86,0.26,No,0.027523,0,0.32,2
457,CH,274,7,1.86,2.13,0.47,0.54,1,0,0.629047,1.59,1.39,0.2,Yes,0.253521,0.252688,0.27,0
458,MM,275,7,1.99,2.13,0,0.54,1,0,0.703238,1.59,1.99,-0.4,Yes,0.253521,0,0.14,0
459,MM,275,2,1.96,2.18,0,0.8,0,1,0.56259,1.38,1.96,-0.58,No,0.366972,0,0.22,2
460,MM,277,3,2.09,2.09,0.2,0.4,0,0,0.450072,1.69,1.89,-0.2,No,0.191388,0.095694,0,3
461,MM,246,2,1.89,2.09,0,0,0,0,0.48,2.09,1.89,0.2,No,0,0,0.2,2
462,CH,227,4,1.79,1.79,0,0,0,1,0.48,1.79,1.79,0,No,0,0,0,4
463,CH,228,7,1.69,1.69,0,0,0,0,0.584,1.69,1.69,0,Yes,0,0,0,0
464,CH,255,7,1.86,2.18,0,0,0,0,0.6672,2.18,1.86,0.32,Yes,0,0,0.32,0
465,CH,265,7,1.86,2.13,0.37,0,1,0,0.73376,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
466,CH,267,7,1.86,2.13,0,0,1,0,0.787008,2.13,1.86,0.27,Yes,0,0,0.27,0
467,CH,269,7,1.86,2.13,0.27,0,1,0,0.829606,2.13,1.59,0.54,Yes,0,0.145161,0.27,0
468,CH,271,7,1.86,2.13,0,0,0,0,0.863685,2.13,1.86,0.27,Yes,0,0,0.27,0
469,CH,272,7,1.86,2.13,0,0,0,0,0.890948,2.13,1.86,0.27,Yes,0,0,0.27,0
470,CH,274,7,1.86,2.13,0.47,0.54,1,0,0.912758,1.59,1.39,0.2,Yes,0.253521,0.252688,0.27,0
471,CH,274,7,1.86,2.13,0.47,0.54,1,0,0.5,1.59,1.39,0.2,Yes,0.253521,0.252688,0.27,0
472,MM,275,2,1.96,2.18,0,0.8,0,1,0.6,1.38,1.96,-0.58,No,0.366972,0,0.22,2
473,MM,276,7,1.99,2.13,0,0.54,0,1,0.48,1.59,1.99,-0.4,Yes,0.253521,0,0.14,0
474,CH,277,7,1.99,2.13,0.5,0,0,1,0.384,2.13,1.49,0.64,Yes,0,0.251256,0.14,0
475,MM,246,7,1.86,2.09,0,0,0,0,0.256,2.09,1.86,0.23,Yes,0,0,0.23,0
476,CH,253,7,1.86,2.09,0.1,0,0,0,0.4,2.09,1.76,0.33,Yes,0,0.053763,0.23,0
477,CH,266,7,1.86,2.13,0.37,0,1,0,0.52,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
478,CH,266,7,1.86,2.13,0.37,0,1,0,0.616,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
479,CH,267,7,1.86,2.13,0,0,1,0,0.6928,2.13,1.86,0.27,Yes,0,0,0.27,0
480,CH,269,7,1.86,2.13,0.27,0,1,0,0.75424,2.13,1.59,0.54,Yes,0,0.145161,0.27,0
481,CH,274,7,1.86,2.13,0.47,0.54,1,0,0.803392,1.59,1.39,0.2,Yes,0.253521,0.252688,0.27,0
482,CH,253,2,1.89,2.09,0.13,0,0,0,0.6,2.09,1.76,0.33,No,0,0.068783,0.2,2
483,CH,255,2,1.89,2.18,0.13,0,0,0,0.68,2.18,1.76,0.42,No,0,0.068783,0.29,2
484,CH,264,2,1.86,2.18,0,0,0,0,0.584,2.18,1.86,0.32,No,0,0,0.32,2
485,CH,235,3,1.79,2.09,0,0,0,0,0.5,2.09,1.79,0.3,No,0,0,0.3,3
