fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,red
9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6,red
6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6,red
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,red
8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,7,red
5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7,red
6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6,red
10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,5,red
10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7,red
8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6,red
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7,red
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,red
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,red
8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5,red
9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,red
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7,red
6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6,red
7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,6,red
9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6,red
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6,red
9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,6,red
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,red
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,red
6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6,red
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4,red
7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7,red
5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5,red
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,red
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,red
9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5,red
10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,6,red
6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5,red
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,red
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,red
6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5,red
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,red
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,red
8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,4,red
9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6,red
6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,red
7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,7,red
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,red
7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6,red
6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6,red
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,red
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,red
7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6,red
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,red
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,red
7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7,red
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8,red
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5,red
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,red
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,red
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,red
9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5,red
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,red
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7,red
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,red
6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5,red
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,red
9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,6,red
10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,6,red
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6,red
7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,6,red
8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6,red
8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6,red
9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,6,red
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,red
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,red
8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6,red
10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6,red
12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,6,red
9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,red
7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5,red
9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5,red
5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7,red
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,red
7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6,red
7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5,red
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,red
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4,red
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,red
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4,red
7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6,red
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,red
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4,red
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4,red
7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5,red
9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5,red
9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,6,red
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,red
5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,6,red
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,red
7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,5,red
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,red
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6,red
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,red
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,red
7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,5,red
7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5,red
7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,5,red
7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5,red
6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,5,red
7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,5,red
7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6,red
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,red
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,red
8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5,red
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4,red
9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5,red
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4,red
8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6,red
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,red
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,red
10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,6,red
6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6,red
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,red
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6,red
7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6,red
5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,5,red
7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5,red
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6,red
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,red
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4,red
7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6,red
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,red
9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,7,red
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6,red
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6,red
7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,6,red
8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,6,red
7,0.42,0.19,2.3,0.071,18,36,0.99476,3.39,0.56,10.9,5,red
11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5,red
7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6,red
8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5,red
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5,red
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5,red
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5,red
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,red
5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,6,red
7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4,red
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,red
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,red
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,red
7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,6,red
5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6,red
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3,red
5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6,red
6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,6,red
9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,6,red
8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,5,red
7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,5,red
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,red
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5,red
6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,4,red
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5,red
7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,5,red
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,red
6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,6,red
8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,5,red
7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,6,red
7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,6,red
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,red
5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6,red
9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6,red
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,red
9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,6,red
9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,5,red
5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6,red
9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,5,red
9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7,red
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,red
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,red
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,red
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,red
6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,5,red
7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,6,red
7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,6,red
7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,5,red
8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,6,red
9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,5,red
7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,5,red
6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6,red
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5,red
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5,red
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5,red
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red
7.6,0.54,0.02,1.7,0.085,17,31,0.99589,3.37,0.51,10.4,6,red
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red
11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,5,red
8.2,0.44,0.24,2.3,0.063,10,28,0.99613,3.25,0.53,10.2,6,red
6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,5,red
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,red
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,red
6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,5,red
9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,5,red
7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,6,red
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5,red
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5,red
7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,5,red
6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,5,red
6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,5,red
7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,6,red
7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,5,red
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,6,red
9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,5,red
8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,5,red
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,6,red
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4,red
7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,6,red
7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,5,red
7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5,red
6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,6,red
8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6,red
6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4,red
8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5,red
7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6,red
8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5,red
7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5,red
6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3,red
7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,5,red
8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10,5,red
5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6,red
7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6,red
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6,red
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6,red
6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,5,red
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5,red
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5,red
7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5,red
8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,5,red
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,red
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,red
6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5,red
6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,5,red
6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,6,red
8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5,red
7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5,red
8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,5,red
6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5,red
8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,6,red
8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5,red
7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5,red
7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7,red
7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,6,red
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5,red
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5,red
7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6,red
7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,8,red
8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,6,red
7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,7,red
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6,red
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,red
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7,red
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,red
6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6,red
6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,6,red
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6,red
9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,5,red
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5,red
6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5,red
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5,red
7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,7,red
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5,red
7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,5,red
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5,red
7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,5,red
7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,6,red
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,4,red
8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,red
8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,red
7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6,red
7.6,0.41,0.33,2.5,0.078,6,23,0.9957,3.3,0.58,11.2,5,red
7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5,red
7.9,0.18,0.4,2.2,0.049,38,67,0.996,3.33,0.93,11.3,5,red
7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,5,red
7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,6,red
5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6,red
6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,7,red
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6,red
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6,red
10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,5,red
6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,5,red
7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,5,red
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.06666667,6,red
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7,red
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,6,red
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5,red
6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,5,red
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,6,red
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,6,red
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5,red
6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5,red
6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5,red
7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,8,red
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7,red
7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7,red
6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6,7,red
7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5,red
11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,6,red
6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,6,red
6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,6,red
7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5,red
8.4,0.29,0.4,1.7,0.067,8,20,0.99603,3.39,0.6,10.5,5,red
7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,7,red
6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6,red
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4,red
6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6,red
6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,6,red
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5,red
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5,red
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,red
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4,red
